Sample	Eukaryotic_taxonomy	Bacterial_taxonomy	Count
RhodoM10XDilBC10e5	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	d:Mock5_18S_16S(1.00),p:Mock5_18S_16S(1.00),c:Mock5_18S_16S(1.00),o:Mock5_18S_16S(1.00),f:Mock5_18S_16S(1.00),g:Mock5_18S_16S(1.00),s:Mock5_16S(1.00)	11
RhodoM10XDilBC10e5	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(1.00),g:Pseudarcobacter(1.00),s:Arcobacter cibarius(0.12)	11
RhodoM10XDilBC10e5	d:Mock6_18S_16S(1.00),p:Mock6_18S_16S(1.00),c:Mock6_18S_16S(1.00),o:Mock6_18S_16S(1.00),f:Mock6_18S_16S(1.00),g:Mock6_18S_16S(1.00),s:Mock6_16S(1.00)	d:Mock5_18S_16S(1.00),p:Mock5_18S_16S(1.00),c:Mock5_18S_16S(1.00),o:Mock5_18S_16S(1.00),f:Mock5_18S_16S(1.00),g:Mock5_18S_16S(1.00),s:Mock5_16S(1.00)	9
RhodoM10XDilBC10e5	d:Mock4_18S_16S(1.00),p:Mock4_18S_16S(1.00),c:Mock4_18S_16S(1.00),o:Mock4_18S_16S(1.00),f:Mock4_18S_16S(1.00),g:Mock4_18S_16S(1.00),s:Mock4_16S(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Rhodocyclaceae(0.98),g:Propionivibrio(0.98),s:uncultured bacterium(0.33)	8
RhodoM10XDilBC10e5	d:Mock3_18S(1.00),p:Mock3_18S(1.00),c:Mock3_18S(1.00),o:Mock3_18S(1.00),f:Mock3_18S(1.00),g:Mock3_18S(1.00),s:Mock3_16S(1.00)	d:Mock3_16S(1.00),p:Mock3_16S(1.00),c:Mock3_16S(1.00),o:Mock3_16S(1.00),f:Mock3_16S(1.00),g:Mock3_16S(1.00),s:Mock3_16S(1.00)	7
RhodoM10XDilBC10e5	d:Mock4_18S_16S(1.00),p:Mock4_18S_16S(1.00),c:Mock4_18S_16S(1.00),o:Mock4_18S_16S(1.00),f:Mock4_18S_16S(1.00),g:Mock4_18S_16S(1.00),s:Mock4_16S(1.00)	d:Mock6_18S_16S(1.00),p:Mock6_18S_16S(1.00),c:Mock6_18S_16S(1.00),o:Mock6_18S_16S(1.00),f:Mock6_18S_16S(1.00),g:Mock6_18S_16S(1.00),s:Mock6_16S(1.00)	7
RhodoM10XDilBC10e5	d:Mock6_18S_16S(1.00),p:Mock6_18S_16S(1.00),c:Mock6_18S_16S(1.00),o:Mock6_18S_16S(1.00),f:Mock6_18S_16S(1.00),g:Mock6_18S_16S(1.00),s:Mock6_16S(1.00)	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(1.00),g:Pseudarcobacter(1.00),s:Arcobacter cibarius(0.12)	7
RhodoM10XDilBC10e5	d:Mock1_18S(1.00),p:Mock1_18S(1.00),c:Mock1_18S(1.00),o:Mock1_18S(1.00),f:Mock1_18S(1.00),g:Mock1_18S(1.00),s:Mock1_16S(1.00)	d:Mock6_18S_16S(1.00),p:Mock6_18S_16S(1.00),c:Mock6_18S_16S(1.00),o:Mock6_18S_16S(1.00),f:Mock6_18S_16S(1.00),g:Mock6_18S_16S(1.00),s:Mock6_16S(1.00)	6
RhodoM10XDilBC10e5	d:Mock1_18S(1.00),p:Mock1_18S(1.00),c:Mock1_18S(1.00),o:Mock1_18S(1.00),f:Mock1_18S(1.00),g:Mock1_18S(1.00),s:Mock1_16S(1.00)	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Rhodocyclaceae(0.98),g:Propionivibrio(0.98),s:uncultured bacterium(0.33)	6
RhodoM10XDilBC10e5	d:Mock2_18S(1.00),p:Mock2_18S(1.00),c:Mock2_18S(1.00),o:Mock2_18S(1.00),f:Mock2_18S(1.00),g:Mock2_18S(1.00),s:Mock2_16S(1.00)	d:Mock6_18S_16S(1.00),p:Mock6_18S_16S(1.00),c:Mock6_18S_16S(1.00),o:Mock6_18S_16S(1.00),f:Mock6_18S_16S(1.00),g:Mock6_18S_16S(1.00),s:Mock6_16S(1.00)	6
